Place,Date,Class,Description
"Anne Arundel County, Maryland",October 2001,(Class A), - BFRO Researcher has sighting in Severn Run State Park
"Anne Arundel County, Maryland",November 1981-82,(Class A), - Dusk sighting above a creek in the Severn Run area
"Anne Arundel County, Maryland",Summer 1978 or 79,(Class A), - Hunched figure seen covered with hair
"Anne Arundel County, Maryland",Summer 1972-73,(Class B), - Child sees large figure looking at him in window at night
"Anne Arundel County, Maryland",Summer 1970-71,(Class B), - Annapolis resident sees 9-10ft shadowy figure in driveway at 1:30am
"Baltimore County, Maryland",May 2011,(Class B), - Night hikers possibly stalked near Bee Tree Preserve
"Baltimore County, Maryland",November 1993,(Class A), - Eight year old has night time encounter at grandparents' home near Woodstock
"Baltimore County, Maryland",May 2001,(Class A), - Large dark animal spotted wading in shallows of lake
"Carroll County, Maryland",November 2012,(Class B), - Local investigates a possible tree break and receives response to rock clacks near Finksburg
"Carroll County, Maryland",Spring 1981,(Class A)," - Man witness  confrontation between bigfoot and stray dog, near Sykesville"
"Cecil County, Maryland",May 2014,(Class B), - Possible activity and odd discoveries found by a Traditional Native American near Port Deposit
"Dorchester County, Maryland",April 1999,(Class B), - Memory told of a possible late night sighting while driving near Hurlock
"Fredrick County, Maryland",August 2003,(Class B), - Fishermen have vocal encounter on river island
"Fredrick County, Maryland",June 1985,(Class B), - Screams heard at night near rental cabin in Catoctin Mountain State Park
"Garrett County, Maryland",November 2022,(Class B)," - Big howls in MD panhandle, near Deep Creek Lake State Park"
"Harford County, Maryland",July 1996,(Class B), - Witness hears strange screams from the woods
"Harford County, Maryland",Winter 1995-96,(Class B), - Various activities reported near the Gunpowder River. 
"Harford County, Maryland",September 1996,(Class A)," - Six People Witness ""Large dark Animal, run away on two legs"" near Gunpowder State Park"
"Harford County, Maryland",September 1993,(Class A), - Memories told of several incidents including an observation through a rifle scope while target practicing outside Street
"Harford County, Maryland",July 1984,(Class A)," - Large, dark creature seen crossing the road. "
"Harford County, Maryland", Early 70's,(Class B), - Man sees ape-like animal in back yard
"Howard County, Maryland",Summer 1977,(Class A), - Large human-like footprints found on a path. 
"Montgomery County, Maryland",March 2014,(Class B), - Possible nighttime sighting through a living room window near Potomac
"Montgomery County, Maryland",July 1996,(Class A), - A sighting by two campers at Little Bennett Campground
"Montgomery County, Maryland",August 1994,(Class B), - Vocals and thrown objects experienced by two friends exploring
"Prince George's County, Maryland",July 2006,(Class B), - Biologist has multiple experiences at government research facility near Laurel
"Washington County, Maryland",May 1989,(Class B), - Recollection of possible vocalizations and brush crashing while camping in the Lil-Aaron Straus Wilderness Area
"Washington County, Maryland",Summer 1970,(Class A), - Woman recalls sighting near Williamsport
"Worcester County, Maryland",September 1997,(Class A), - A nighttime sighting on Route 610
"Allegany County, Maryland",July 1999,(Class A), - Youth has daytime sighting near LaVale
"Anne Arundel County, Maryland",August 1998,(Class A), - Man recalls seeing a tall dark creature behind his house at dusk near Laurel
"Anne Arundel County, Maryland",May 2008,(Class B), - Bird watcher experiences unusual activity while hiking in the Oxbow Lake Nature Preserve
"Anne Arundel County, Maryland",September 2005,(Class B)," - Bow hunter hears vocalizations, smells foul odor"
"Anne Arundel County, Maryland",August 2001,(Class B)," - Campers hear animal groan, find tracks in the morning"
"Anne Arundel County, Maryland",October 2001,(Class A), - BFRO Researcher has sighting in Severn Run State Park
"Anne Arundel County, Maryland",November 1981-82,(Class A), - Dusk sighting above a creek in the Severn Run area
"Anne Arundel County, Maryland",Summer 1978 or 79,(Class A), - Hunched figure seen covered with hair
"Anne Arundel County, Maryland",Summer 1972-73,(Class B), - Child sees large figure looking at him in window at night
"Anne Arundel County, Maryland",Summer 1970-71,(Class B), - Annapolis resident sees 9-10ft shadowy figure in driveway at 1:30am
"Baltimore County, Maryland",May 2011,(Class B), - Night hikers possibly stalked near Bee Tree Preserve
"Baltimore County, Maryland",November 1993,(Class A), - Eight year old has night time encounter at grandparents' home near Woodstock
"Baltimore County, Maryland",May 2001,(Class A), - Large dark animal spotted wading in shallows of lake
"Carroll County, Maryland",November 2012,(Class B), - Local investigates a possible tree break and receives response to rock clacks near Finksburg
"Carroll County, Maryland",Spring 1981,(Class A)," - Man witness  confrontation between bigfoot and stray dog, near Sykesville"
"Cecil County, Maryland",May 2014,(Class B), - Possible activity and odd discoveries found by a Traditional Native American near Port Deposit
"Dorchester County, Maryland",April 1999,(Class B), - Memory told of a possible late night sighting while driving near Hurlock
"Fredrick County, Maryland",August 2003,(Class B), - Fishermen have vocal encounter on river island
"Fredrick County, Maryland",June 1985,(Class B), - Screams heard at night near rental cabin in Catoctin Mountain State Park
"Garrett County, Maryland",November 2022,(Class B)," - Big howls in MD panhandle, near Deep Creek Lake State Park"
"Harford County, Maryland",July 1996,(Class B), - Witness hears strange screams from the woods
"Harford County, Maryland",Winter 1995-96,(Class B), - Various activities reported near the Gunpowder River. 
"Harford County, Maryland",September 1996,(Class A)," - Six People Witness ""Large dark Animal, run away on two legs"" near Gunpowder State Park"
"Harford County, Maryland",September 1993,(Class A), - Memories told of several incidents including an observation through a rifle scope while target practicing outside Street
"Harford County, Maryland",July 1984,(Class A)," - Large, dark creature seen crossing the road. "
"Harford County, Maryland", Early 70's,(Class B), - Man sees ape-like animal in back yard
"Howard County, Maryland",Summer 1977,(Class A), - Large human-like footprints found on a path. 
"Montgomery County, Maryland",March 2014,(Class B), - Possible nighttime sighting through a living room window near Potomac
"Montgomery County, Maryland",July 1996,(Class A), - A sighting by two campers at Little Bennett Campground
"Montgomery County, Maryland",August 1994,(Class B), - Vocals and thrown objects experienced by two friends exploring
"Prince George's County, Maryland",July 2006,(Class B), - Biologist has multiple experiences at government research facility near Laurel
"Washington County, Maryland",May 1989,(Class B), - Recollection of possible vocalizations and brush crashing while camping in the Lil-Aaron Straus Wilderness Area
"Washington County, Maryland",Summer 1970,(Class A), - Woman recalls sighting near Williamsport
"Worcester County, Maryland",September 1997,(Class A), - A nighttime sighting on Route 610
"Androscoggin County, Maine",August 1999,(Class B), - Two men see huge hairy animal near Poland
"Androscoggin County, Maine",October 1986,(Class A)," - Two men in car see hairy, upright animal on side of road near Turner, Maine"
"Aroostook County, Maine",December 2023,(Class A), - Multiple family members mention multiple incidents on isolated property near the Canadian border
"Cumberland County, Maine",July 1973,(Class A), - Series of sightings taking place over three days
"Hancock County, Maine",November 2020,(Class B)," - Knocks heard near Spectacle Pond, 27 miles east of Bangor"
"Hancock County, Maine", 1996 or 1997,(Class A)," - Two sisters see dark, shaggy haired, bipedal creature standing in middle of road"
"Oxford County, Maine",August 2022,(Class B), - Fishern reports knocks and trees pushed over on lake 30 miles NW of Lewiston
"Oxford County, Maine",September 2020,(Class A), - Multi-witness daylight sighting along powerlines south of Bryant Pond
"Oxford County, Maine",July 2016,(Class B), - Possible footprint found by a family looking for moose antlers near Wilson Mills
"Oxford County, Maine",July 1998,(Class A), - Classic sighting on wooded Maine road
"Oxford County, Maine",July 2001,(Class B), - Man hears unknown animal vocalizations on consectutive nights while camping
"Penobscot County, Maine",October 2020,(Class B), - Distinct wood knocks heard 18 miles NNE of Bangor
"Penobscot County, Maine",July 1973 or '74,(Class A), - Sighting by a motorist
"Piscataquis County, Maine",November ~1970,(Class B), - Hunters find scat and have large rock thrown at them
"Waldo County, Maine",November 2015,(Class B), - Trail camera captures unknown creature on hunting property near Burnham
"York County, Maine",February 2017,(Class B), - Possible track way found in the snow in Vaughn Woods State Park east of Dover
"York County, Maine",February 2016,(Class B), - Possible track way found in the snow hear Hollis
"York County, Maine", 1985,(Class A), - Creature seen by witness
"York County, Maine",June 1974,(Class B)," - Camper hears screams while camping in Kennebunk, Maine"
"Androscoggin County, Maine",August 1999,(Class B), - Two men see huge hairy animal near Poland
"Androscoggin County, Maine",October 1986,(Class A)," - Two men in car see hairy, upright animal on side of road near Turner, Maine"
"Aroostook County, Maine",December 2023,(Class A), - Multiple family members mention multiple incidents on isolated property near the Canadian border
"Cumberland County, Maine",July 1973,(Class A), - Series of sightings taking place over three days
"Hancock County, Maine",November 2020,(Class B)," - Knocks heard near Spectacle Pond, 27 miles east of Bangor"
"Hancock County, Maine", 1996 or 1997,(Class A)," - Two sisters see dark, shaggy haired, bipedal creature standing in middle of road"
"Oxford County, Maine",August 2022,(Class B), - Fishern reports knocks and trees pushed over on lake 30 miles NW of Lewiston
"Oxford County, Maine",September 2020,(Class A), - Multi-witness daylight sighting along powerlines south of Bryant Pond
"Oxford County, Maine",July 2016,(Class B), - Possible footprint found by a family looking for moose antlers near Wilson Mills
"Oxford County, Maine",July 1998,(Class A), - Classic sighting on wooded Maine road
"Oxford County, Maine",July 2001,(Class B), - Man hears unknown animal vocalizations on consectutive nights while camping
"Penobscot County, Maine",October 2020,(Class B), - Distinct wood knocks heard 18 miles NNE of Bangor
"Penobscot County, Maine",July 1973 or '74,(Class A), - Sighting by a motorist
"Piscataquis County, Maine",November ~1970,(Class B), - Hunters find scat and have large rock thrown at them
"Waldo County, Maine",November 2015,(Class B), - Trail camera captures unknown creature on hunting property near Burnham
"York County, Maine",February 2017,(Class B), - Possible track way found in the snow in Vaughn Woods State Park east of Dover
"York County, Maine",February 2016,(Class B), - Possible track way found in the snow hear Hollis
"York County, Maine", 1985,(Class A), - Creature seen by witness
"York County, Maine",June 1974,(Class B)," - Camper hears screams while camping in Kennebunk, Maine"
"Alcona County, Michigan",June 2018,(Class B), - Family and friends hear two whoops from an unknown creature outside Mikado.
"Alcona County, Michigan",July 2013,(Class B), - Huge rocks thrown at night fishermen on Jewell Lake
"Alcona County, Michigan",October 2006,(Class B), - Two bowhunters hear possible screams near Glennie
"Alcona County, Michigan",October 2006,(Class B), - Possible vocalization heard at dusk by bowhunter near Glennie
"Alcona County, Michigan",November 1985,(Class B)," - Hunters endure hour-long, intimidation behavior by unseen aggressor(s)"
"Alger County, Michigan",June 2007,(Class B), - Possible knocking heard in Pictured Rocks National Lakeshore
"Alger County, Michigan",July 1944,(Class B), - Memory told of a possible daylight sighting while playing in the woods in Eben Junction
"Allegan County, Michigan",June 2007,(Class B), - Possible vocals at property near the Allegan State Game Area
"Alpena County, Michigan",November 2012,(Class B), - Photographs taken of a possible trackway on property west of Alpena
"Alpena County, Michigan",July 2011,(Class B), - Possible vocalizations heard from woods on a family farm outside Alpena
"Alpena County, Michigan",September 1998,(Class B)," - While bird hunting in the woods witness observed "" something "" dark brown, seven feet tall, running extremely fast through the woods. "
"Alpena County, Michigan",June 1980,(Class B), - Fisherman recalls being startled by late night encounter on Fletcher Pond near Hillman
"Arenac County, Michigan",November 2003,(Class A)," - Bigfoot tries to hide under brush, leaves legs exposed"
"Baraga County, Michigan",August 1998,(Class B), - 15-16 inch and 8-10 inch very fresh tracks found in the mud. 
"Baraga County, Michigan",July 1971 ,(Class A), - Teenager views runner covered in hair near Michigamme
"Baraga County, Michigan",September 1970,(Class A), - Dusk sighting by two women near Three Lakes (w/sketch by artist)
"Barry County, Michigan",January 2011,(Class B), - Young woman hears possible vocalization late at night by a home near Gull Lake
"Benzie County, Michigan",August 2010,(Class B), - Description of several strange encounters along Sleeping Bear Dunes National Shoreline
"Benzie County, Michigan",September 1998,(Class B), - creature screamed twice
"Benzie County, Michigan",August 1998,(Class A), - Sisters have nighttime sighting near Buckley. 
"Benzie County, Michigan",Spring mid 80's,(Class A)," - Near Bendon, woman and daughter recall their daylight sighting from automobile"
"Benzie County, Michigan",October 1984,(Class B)," - Possible stalking at rural school bus stop near Benzonia, Michigan"
"Berrien County, Michigan",June 2012,(Class B), - Gentleman walking his dog at dusk describes possible encounter and print near St. Joseph.
"Berrien County, Michigan",February 1993,(Class B)," - Man recalls a possible brief sighting near Buchanan, while looking for dog"
"Berrien County, Michigan",Winter Maybe 1974,(Class B)," - Observer hears scream changing to low ""demonic"" chuckle"
"Calhoun County, Michigan",October 1979,(Class A), - Sighting by two teenagers in woods near Albion
"Calhoun County, Michigan",September 1974,(Class A), - Motorist has nighttime sighting of animal near Marshall.
"Cass County, Michigan",July 2001,(Class A), - 2 Friends with a flashlight watch a BF late at night
"Cass County, Michigan",Summer Late1960's,(Class B), - Possible Evening Encounter by Woman on Horseback near Union
"Charlevoix County, Michigan",June 2008,(Class B), - Woman describes foul odor and possible vocalizatons near home outside Charlevoix
"Cheboygan County, Michigan",January 2013,(Class B), - Hunters come across an unknown track line with an incredible stride near Tower
"Cheboygan County, Michigan",July 2009,(Class A), - Motorist is shocked by sighting on I-75 between Wolverine & Indian River
"Cheboygan County, Michigan",September 2008,(Class A), - Dusk sighting by two teenagers participating in the Youth Deer Hunt near Wolverine
"Cheboygan County, Michigan",November 1983,(Class B)," - Hunter hears loud vocalizations as the animal moves around him, hunting partner hears it as well"
"Chippewa County, Michigan",August 1999,(Class A), - Woman recalls her early morning sighting of a sasquatch east of Brimley
"Chippewa County, Michigan",April 2008,(Class B), - Man witnesses the sillouette of a tall creature while boiling sap near Sault Ste. Marie
"Crawford County, Michigan",July 2000,(Class B), - Odd sounds and animal behavior from the forest cause woman concern.
"Crawford County, Michigan",Spring 1972-1974?,(Class A), - Man recalls childhood incident near Grayling
"Delta County, Michigan",May 2018,(Class B), - Possible vocalization outside Rock MI near western edge of Hiawatha National Forest 
"Delta County, Michigan",November 2016,(Class B), - Possible ongoing activity experienced while hiking a trail outside Gladstone
"Delta County, Michigan",April 2014,(Class B), - Fishermen have possible daytime encounter near Escanaba
"Delta County, Michigan",November 2013,(Class B), - Deer hunter reports possible ongoing activity on his family's property near Bark River
"Delta County, Michigan",January 2013,(Class B), - Possible nighttime sighting by a couple in separate vehicles outside Escanaba
"Delta County, Michigan",October 2005,(Class B), - Possible sighting by a motorist avoiding deer west of Escanaba
"Delta County, Michigan",July 2001,(Class B), - Possible early evening sighting at a cemetery outside Escanaba
"Delta County, Michigan",October 1997,(Class A), - Daylight multi-witness road-crossing sighting just outside Gladstone (MI-UP) 
"Delta County, Michigan",July 1986,(Class B), - Campers have strange encounter near swamp in the Upper Peninsula
"Delta County, Michigan",November 1982,(Class B), - Memory told of strange incidents while alone at a family hunting camp near Cornell
"Delta County, Michigan",October 1982,(Class A), - Motorist sighting on County Road 426 between Cornell and Watson
"Dickinson County, Michigan",July 1984,(Class B)," - Three toed track found, grunting heard"
"Dickinson County, Michigan",July 1965,(Class A), - Afternoon highway crossing near Felch
"Dickinson County, Michigan", 1963,(Class A), - Eight foot tall creature seen standing under a tree at family cabin
"Gladwin County, Michigan",December 1977,(Class B), - Memory told of a possible nighttime sighting by a teenager snowmobiling south of Houghton Lake
"Gladwin County, Michigan",January 2012,(Class B), - Woman has a possible encounter involving her vehicle while driving near Beaverton
"Gladwin County, Michigan",October 1996 or 97,(Class A), - Man tells of sighting of two creatures while shining for deer near Beaverton
"Gogebic County, Michigan",August 2016,(Class A), - Trapper has a daylight sighting while driving near Wakefield
"Gogebic County, Michigan",July 2012,(Class B), - Possible daytime road crossing within the Sylvania Wilderness Area
"Grand Traverse County, Michigan",December 2012,(Class B), - Snowmobiler observes a large figure cross the trail behind him near Traverse City
"Grand Traverse County, Michigan",August 2011,(Class B), - Reoccurring activity on a farm near Fife Lake
"Grand Traverse County, Michigan","December 2008, 2009",(Class B), - Possible daylight sighting by a mountain biker in the Pere Marquette State Forest
"Grand Traverse County, Michigan",June 2005,(Class B), - Possible wood knocks and sticks thrown cause campers to leave early south of Traverse City
"Grand Traverse County, Michigan",February 1984,(Class B), - Teens find footprint in swampy ground near Interlochen.
"Grand Traverse County, Michigan",June 1982,(Class B), - Camper recounts late night experience and finds footprints near Interlochen
"Gratiot County, Michigan",July 1991,(Class A), - Woman remembers unnerving interactions near Ashley
"Hillsdale County, Michigan",September 2014,(Class B), - Possible late afternoon road crossing north of Ransom
"Hillsdale County, Michigan",January 2014,(Class B), - Homeowner follows possible track way heading into Lost Nations State Game Area near Hillsdale
"Hillsdale County, Michigan",April 2006,(Class A)," - Resident reports numerous incidents in his neighborhood outside Allen, near borders of MI, IN and OH"
"Hillsdale County, Michigan",Spring 2003,(Class B)," - Two bikers hear strange sound near ""Lost Nation"""
"Huron County, Michigan",July 1965,(Class A), - Apelike creature seen by children on a sand dune near Caseville
"Ionia County, Michigan",Fall 1983,(Class A), - Homeowner recalls a sighting outside her window and hearing strange vocalizations near Palo
"Iosco County, Michigan",October 2017,(Class B), - Father and daughter have possible late night sighting on edge of Huron National Forest
"Iosco County, Michigan",November 2016,(Class B), - Resident's sighting three miles north of Wurtsmith Air Force Base.
"Iosco County, Michigan",April 2012,(Class A), - Daylight sighting by a young man fishing near Whittemore
"Iosco County, Michigan",July 85-present,(Class B), - Possible ongoing activity outside Whittemore
"Iosco County, Michigan",Spring 1988? - 2003,(Class B), - Former Michigan native recalls possible activity near National City
"Iosco County, Michigan",January 1979,(Class A)," - Couple sees 7-8' tall ""ape-like creature"" in Tuttle Marsh"
"Iron County, Michigan",November 1996,(Class B), - Possible Sighting by Deer Hunter in the Ottawa National Forest
"Iron County, Michigan",Fall Late 60's,(Class B), - Memory told of a possible daylight sighting while driving deer on a farm east of Iron River
"Isabella County, Michigan",January 2012,(Class B), - Homeowner recounts multiple instances of rock throwing and vocalizations near Mount Pleasant
"Isabella County, Michigan",July 2011-2012,(Class B), - Farmers record interesting vocalizations west of Clare
"Isabella County, Michigan",October 1990,(Class A)," - Nighttime sighting by three in car, near Mt. Pleasant"
"Isabella County, Michigan",November 1974,(Class A), - Cub Scouts see two different colored creatures
"Jackson County, Michigan",November 2011,(Class B), - Hunter hears unknown screams after shooting a deer near Jackson
"Jackson County, Michigan",Fall 2000,(Class B), - Trucker recounts possible early morning experience while making a delivery outside Spring Arbor
"Jackson County, Michigan",April 2000,(Class B)," - Footprints, sometimes in pairs, seen periodically on family property"
"Kalamazoo County, Michigan",May 2002,(Class A)," - Nighttime sighting by four witnesses, near Plainwell"
"Kalamazoo County, Michigan",Spring 1989,(Class A)," - Multiple encounters, multiple witnesses, dating back to 60's"
"Kalamazoo County, Michigan",Spring 1969-1979,(Class A), - Multiple childhood interactions recalled by a woman who grew up near Kalamazoo
"Kalkaska County, Michigan",July 2014,(Class A), - Multiple incidents including rock throwing at a rural cabin near Kalkaska 
"Kalkaska County, Michigan",July 2013,(Class B), - Multiple incidents at a family's rural property near Kalkaska
"Kalkaska County, Michigan",October 1977,(Class A), - Nighttime sighting remembered while driving southeast of Kalkaska
"Kalkaska County, Michigan",March 1962,(Class A), - Man recalls encounter he had as a teenager near Kalkaska
"Kent County, Michigan",September 2013,(Class B)," - Multiple interactions involving a possible road crossing, vocalizations and paralleling experienced by a hunter/homeowner near the Rogue River Game Area"
"Kent County, Michigan",November 1978,(Class A), - Man recalls spotting a sasquatch watching him while hunting deer north of Grand Rapids
"Kent County, Michigan",September 1983,(Class A), - witness heard footsteps. 
"Kent County, Michigan",October 1979 ,(Class B), - Bow hunter remembers possible intimidation behavior near Grand Rapids.
"Keweenaw County, Michigan",November 2001,(Class B), - Father and sons hear screams while deerhunting near Gay
"Lake County, Michigan",July 2006,(Class A), - Late afternoon sighting by two brothers near Baldwin
"Leelanau County, Michigan",December 2014,(Class B), - Possible night time knocks startle a woman out of her sleep near Traverse City
"Leelanau County, Michigan",September 2013,(Class B), - Possible activity at a cabin outside Traverse City
"Lenawee County, Michigan",Spring 1995,(Class B), - Possible dusk sighting near Lake Hudson State Park
"Lenawee County, Michigan",November 1980,(Class A), - Passenger recalls a nighttime sighting near Brooklyn.
"Lenawee County, Michigan",July 1978,(Class A), - Woman recalls being paralyzed by fear during childhood sighting near Lake Hudson State Park
"Lenawee County, Michigan",Spring 1977 or 78,(Class A), - Large Hairy Arm Knocks in Window Screen
"Livingston County, Michigan",Summer 1978,(Class A), - Juvenile Bigfoot crosses road and clears a fence near Fowlerville
"Livingston County, Michigan", 1976,(Class A), - ape-like creature seen by witnesses. 
"Livingston County, Michigan", 1910,(Class B), - A family observes a small group of bigfoots swim across White Lake. 
"Luce County, Michigan",Summer 1993,(Class B), - Rock hunters watch tall upright figure along Lake Superior near Newberry
"Luce County, Michigan",Summer 1986,(Class A), - Man describes road sighting in teen years near Pine Stump Junction
"Luce County, Michigan",February 1972,(Class B), - Snowmobiler finds large barefoot tracks in upper peninsula of Michigan
"Mackinac County, Michigan",February 2022,(Class B)," - RECENT: Wood knocks at night in UP: Big Manistique Lake, east side of Seney Refuge"
"Mackinac County, Michigan",May 2015,(Class B), - Fisherman finds possible footprints on the Carp River north of St. Ignace
"Mackinac County, Michigan",June 1979,(Class A)," - Motorist describes nighttime sighting/encounter in headlights on US-2, west of St. Ignace "
"Manistee County, Michigan",April 2012,(Class B), - Night fishermen startled while in their boat at Tippy Dam Campground
"Manistee County, Michigan",May 1999,(Class A), - Daylight sighting of a white creature while walking near Thompsonville
"Manistee County, Michigan",November 2009,(Class A)," - Grandfather and grandson witness a big, black creature chasing a deer near Manistee"
"Manistee County, Michigan",November mid 1990's,(Class B), - Possible bluff charge toward a hunter in a blind near Copemish
"Manistee County, Michigan",October 1984?,(Class A), - Memory told of an early evening sighting at a migrant work camp in Bear Lake
"Manistee County, Michigan",November 1983,(Class A), - Series of accounts reported by witness. 
"Manistee County, Michigan",November 62 or 63,(Class B), - Memory told of a possible encounter while deer hunting east of Manistee
"Marquette County, Michigan",April 2008,(Class A)," - Large, unusual footprints observed in deep snow near Bass Lake"
"Marquette County, Michigan",January 2007,(Class B), - Possible tracks in snow near Gwinn 
"Marquette County, Michigan",January 2004,(Class B), - Possible footprints found in snow outside Marquette
"Marquette County, Michigan",November 2002,(Class A), - Nighttime sighting on CR550 outside Marquette
"Marquette County, Michigan",July 1996,(Class A), - Bikers have daylight sighting near Marquette.
"Marquette County, Michigan",August 1991,(Class A), - Horseback rider has close range sighting in jackpine forest
"Marquette County, Michigan",Fall 1990,(Class A), - Daylight sighting by hunters near Gwinn (Upper Peninsula)
"Marquette County, Michigan",Summer 1972,(Class B)," - Family finds large footprint, and hears unusual sounds"
"Mason County, Michigan",June 2019,(Class B), - Early morning vocalizations heard by fishermen near Walhalla
"Mason County, Michigan",November 2006,(Class B), - Possible footprints found near Manistee
"Mason County, Michigan",October 2003/2004,(Class B), - Multiple years of wood knocking and primate-like behavior described by a soldier hunting near Manistee
"Mecosta County, Michigan",October 2013,(Class A), - Large biped sighted running in the woods behind a home near Chippewa Lake
"Mecosta County, Michigan",May 2010-2012,(Class B), - Family reports possible vocalizations and unexplained activity near Mecosta
"Mecosta County, Michigan",September 1982,(Class B), - Teen hears extremely loud vocalization along path near home
"Menominee County, Michigan",January 2021,(Class B), - Coyote hunters watch upright figure at night in woodline with glowing yellowish eyes outside Faithorn
"Menominee County, Michigan",July 2013,(Class B), - Fisherman sees tall figure with orange eyeshine leaving the Menominee River near Norway
"Menominee County, Michigan",October 2009,(Class A), - Couple have multiple sightings at their home near Bark River
"Midland County, Michigan",November 1997,(Class A)," - witness describes an ""ape-like"" creature along a road. "
"Midland County, Michigan",September 1977,(Class A)," - Witness and cousin see ""hairy brown man-like creature"" watching them"
"Midland County, Michigan",November 1972,(Class A), - BF shakes bush and screams at 2 hunters
"Midland County, Michigan",Fall 1967,(Class A), - Man recalls walking home from the bus stop and observing a Bigfoot taking off across a field near Midland
"Missaukee County, Michigan",April 2013,(Class A), - Strange findings along a trail near a home outside Lake City
"Monroe County, Michigan",September 2009,(Class B), - Retired police officer describes possible nighttime sighting near Monroe.
"Monroe County, Michigan",July 1993,(Class A), - Two people spot a 7-8 foot tall creature walking on two legs. 
"Monroe County, Michigan",October 1983,(Class A)," - Two boys, out ""hunting"" with BB guns, witness a seven foot tall creature on two legs. "
"Monroe County, Michigan",September 1980,(Class A), - Man recalls close range daylight sighting while squirrel hunting near Monroe.
"Montcalm County, Michigan",October 2017,(Class A), - Ongoing activity including a late night sighting at a home east of Vestaburg
"Montcalm County, Michigan",Summer 2012,(Class B), - Possible paralleling described and tall figure seen at night south of Mt. Pleasant
"Montcalm County, Michigan",August 2010,(Class B), - Two individuals describe possible activity outside a cabin on Turk Lake
"Montcalm County, Michigan",June 2002,(Class A), - Late night sighting by motorist on 19 Mile Rd. near Greenville
"Montcalm County, Michigan",September 1986,(Class A), - Man recalls scary incidents as a teenager on his family's farm SW of Mt. Pleasant
"Montmorency County, Michigan",November 2012,(Class B), - Hunter has unnerving experience at Bear Den Lake NE of Gaylord
"Montmorency County, Michigan",Spring 1998-99,(Class A), - Woman recalls daylight sighting while driving and a possible incident at a home east of Gaylord
"Montmorency County, Michigan",June 2009,(Class B), - Possible sighting and vocalizations heard by a young man near Hillman
"Montmorency County, Michigan",Spring 1993,(Class A), - 8' tall bigfoot crosses a road in one bound
"Muskegon County, Michigan",August 2006,(Class B), - Couple relate possible sighting on their back deck and unexplained activity while camping near Hart
"Muskegon County, Michigan",Summer 1979,(Class B)," - Avid hiker recalls years of experience living in an area with what local people called the ""Shadow People"" near Montague"
"Oceana County, Michigan",July 2011,(Class A), - Motorists describe a nighttime sighting near the Manistee National Forest.
"Oceana County, Michigan",June 2000,(Class B), - Possible nighttime activity while camping and a chimp-like animal seen lifeless in the road near New Era
"Oceana County, Michigan", 1976,(Class B), - Long term possible Sasquatch interactions on a farm near New Era beginning in the mid 1970's
"Ogemaw County, Michigan",September 2016,(Class B), - Motorist has a possible daylight sighting just north of South Branch
"Ogemaw County, Michigan",September 2007,(Class A), - Night Time Sighting by Motorist - South of Lupton
"Ogemaw County, Michigan",May 2006,(Class B), - Vacationer hears possible howls at night near Henderson Lake
"Ogemaw County, Michigan",November 2003,(Class A), - Deer hunter watches large bipedal animal in Rifle River State Park.
"Ogemaw County, Michigan",July 2001,(Class B), - Family members describe possible nighttime vocalizations heard over the years near Prescott
"Ogemaw County, Michigan",November 1991,(Class A)," - Witness hears scream, sees large 2-legged figure covered with hair"
"Ontonagon County, Michigan",July 2002,(Class B), - Scientist hears nocturnal vocalizations near Ontanagon.  
"Osceola County, Michigan",May 2009,(Class A), - Close encounter experienced while waiting for the school bus near Marion
"Osceola County, Michigan",November 1989 &2005,(Class B), - Hunter recalls incidents near Pecks Lake
"Oscoda County, Michigan",May 2010,(Class B), - Possible daylight sighting by a motorist near Mio. 
"Oscoda County, Michigan",July 1989,(Class A), - Man recounts two experiences with bigfoot while camping in the Lower Peninsula
"Oscoda County, Michigan",October 2008,(Class A), - Bird hunter surprises a resting sasquatch near Curtisville
"Oscoda County, Michigan",September 1992,(Class A), -  Hunter tells of his daylight encounter while baiting bear outside Lewiston
"Oscoda County, Michigan",July 2006,(Class B), - Possible daylight sighting by backwoods motorist couple near Huron National Forest
"Oscoda County, Michigan",Summer 99 or 2000,(Class A)," - Drives around curve, sees a bigfoot step into the treeline"
"Oscoda County, Michigan",Fall 1997/1998,(Class A), - Two men see a bigfoot cross a road near Rose City
"Oscoda County, Michigan",October 1990,(Class A), - Bow hunter recalls a small Bigfoot playing peek-a-boo with him east of Grayling
"Oscoda County, Michigan",October 86 and 87,(Class B), - Wood knocking and tree shaking noticed while deer hunting
"Otsego County, Michigan",August 1950,(Class A), - Witness recalls a childhood face to face daylight sighting near his home and night vocalizations outside Gaylord
"Ottawa County, Michigan",November 2002,(Class A), - Two cars stop to let pair of BF cross the road.
"Ottawa County, Michigan",July 1994,(Class B), - Mother and son find footprints in woods near Nunica.
"Presque Isle County, Michigan",July 2003,(Class A), - Air National Guardsman describes being ushered out of the woods culminating in a nighttime sighting from his car near the Presque Isle Lighthouse
"Presque Isle County, Michigan",May 1967,(Class A), - Woman remembers childhood sighting near Rogers City
"Roscommon County, Michigan",April 2017,(Class A), - Family driving a rural two-track have a late day encounter north of Higgins Lake
"Roscommon County, Michigan",September 1992,(Class B), - Recollection of a possible road crossing at dusk near Roscommon
"Roscommon County, Michigan",November 2011,(Class B), - Resonant vocalizations and bipedal movement heard by hunter camped near Roscommon
